id,main_category,sub_category,detail_category,question,answer,is_template,usage,note,issue,createdAt,updatedAt,search_vector
127,予約関連,トラブル対応,重複予約,同一予約者から複数の重複予約が入った場合の対応は？,以下の手順で対応します：1.予約者へ電話またはメールで連絡 2.複数予約のうち1つを本予約として確認 3.その他の予約をキャンセル（破棄） 4.予約サイトを閉じていただくようお願い,f,◯,ブラウザの戻るボタン操作等による誤送信が原因,同一予約者からの重複予約の適切な処理,2025-03-13 11:40:16.045,2025-03-13 11:40:16.045,'1':2A '2':4A '3':6A '4':9A 'その他の予約をキャンセル':7A 'トラブル対応':12B 'ブラウザの戻るボタン操作等による誤送信が原因':15 '予約サイトを閉じていただくようお願い':10A '予約者へ電話またはメールで連絡':3A '予約関連':11B '以下の手順で対応します':1A '同一予約者から複数の重複予約が入った場合の対応は':14C '破棄':8A '複数予約のうち1つを本予約として確認':5A '重複予約':13B
215,予約関連,キャンセル,,キャンセル料はいくらですか？,前日のキャンセルは予約料金の20%、当日のキャンセルは50%のキャンセル料が発生します。,f,,,,2025-03-13 15:40:14.235,2025-03-13 15:40:14.235,'のキャンセル料が発生します':3A 'キャンセル':5B 'キャンセル料はいくらですか':6C '予約関連':4B '前日のキャンセルは予約料金の20':1A '当日のキャンセルは50':2A
128,予約関連,満車対応,軽自動車枠,満車の場合の予約対応方法は？,軽自動車の場合のみ、21時以降の電話予約で受付できる可能性があります。軽自動車用の特別枠を確保している場合があるためです。キャンセル待ちは一切受け付けていません。,f,△,21時以降の電話でのみ軽自動車の予約可能性あり,満車時の軽自動車受入対応,2025-03-13 11:40:16.048,2025-03-13 11:40:16.048,'21時以降の電話でのみ軽自動車の予約可能性あり':9 '21時以降の電話予約で受付できる可能性があります':2A 'キャンセル待ちは一切受け付けていません':4A '予約関連':5B '満車の場合の予約対応方法は':8C '満車対応':6B '軽自動車の場合のみ':1A '軽自動車枠':7B '軽自動車用の特別枠を確保している場合があるためです':3A
129,予約関連,システム管理,メンテナンス,システムメンテナンス時の予約受付方法は？,1.メンテナンス時間の告知 2.電話予約への切り替え 3.手書き記録の作成 4.システム復旧後のデータ入力,f,△,正確な情報管理の継続,システムメンテナンス時の対応,2025-03-13 11:40:16.051,2025-03-13 11:40:16.051,'1':1A '2':3A '3':5A '4':7A 'システムメンテナンス時の予約受付方法は':12C 'システム復旧後のデータ入力':8A 'システム管理':10B 'メンテナンス':11B 'メンテナンス時間の告知':2A '予約関連':9B '手書き記録の作成':6A '正確な情報管理の継続':13 '電話予約への切り替え':4A
130,予約関連,長期予約,確認事項,長期駐車の受入基準と確認事項は？,1.車両状態の確認 2.連絡先の複数確保 3.支払方法の確認 4.定期点検の実施,f,△,トラブル防止の事前確認,長期駐車の適切な管理,2025-03-13 11:40:16.054,2025-03-13 11:40:16.054,'1':1A '2':3A '3':5A '4':7A 'トラブル防止の事前確認':13 '予約関連':9B '定期点検の実施':8A '支払方法の確認':6A '確認事項':11B '車両状態の確認':2A '連絡先の複数確保':4A '長期予約':10B '長期駐車の受入基準と確認事項は':12C
131,予約関連,長期予約,注意事項,長期駐車の場合のバッテリー対応と注意事項は？,以下の説明と承諾確認を行います：1.バッテリー上がりの可能性があること 2.バッテリーを繋いでエンジンをかけること 3.カーナビなどの初期設定が飛ぶ可能性があること 4.上記内容の承諾確認,f,◯,バッテリー対応の承諾を必ず得る,長期駐車時のバッテリー対応の説明と承諾,2025-03-13 11:40:16.057,2025-03-13 11:40:16.057,'1':2A '2':4A '3':6A '4':8A 'カーナビなどの初期設定が飛ぶ可能性があること':7A 'バッテリーを繋いでエンジンをかけること':5A 'バッテリー上がりの可能性があること':3A 'バッテリー対応の承諾を必ず得る':14 '上記内容の承諾確認':9A '予約関連':10B '以下の説明と承諾確認を行います':1A '注意事項':12B '長期予約':11B '長期駐車の場合のバッテリー対応と注意事項は':13C
132,予約関連,システム通知,メール,メールが届かない場合はどうすればよいですか？,予約完了後すぐにメールが届きます。また予約完了画面が表示されます。メールが届かない場合は、迷惑メールフォルダの確認または受信制限の解除をお願いします。,f,◯,予約完了画面で予約内容の確認可能,予約確認手段の明確化,2025-03-13 11:40:16.06,2025-03-13 11:40:16.06,'また予約完了画面が表示されます':2A 'システム通知':6B 'メール':7B 'メールが届かない場合は':3A 'メールが届かない場合はどうすればよいですか':8C '予約完了後すぐにメールが届きます':1A '予約完了画面で予約内容の確認可能':9 '予約関連':5B '迷惑メールフォルダの確認または受信制限の解除をお願いします':4A
133,予約関連,割引プラン,コンパクト,コンパクトカー割引プランの条件は？,1.当社指定国産車AT限定 2.往復共2名様限定 3.他の割引との併用不可,f,◯,指定車種の確認必須,割引条件の明確化,2025-03-13 11:40:16.062,2025-03-13 11:40:16.062,'1':1A '2':3A '3':5A 'コンパクト':9B 'コンパクトカー割引プランの条件は':10C '予約関連':7B '他の割引との併用不可':6A '割引プラン':8B '当社指定国産車at限定':2A '往復共2名様限定':4A '指定車種の確認必須':11
134,予約関連,来場時間,前泊,前泊の場合の来場時間は？,21時30分までにご来場ください。,f,◯,時間厳守でお願いします,前泊時の来場時間明確化,2025-03-13 11:40:16.064,2025-03-13 11:40:16.064,'21時30分までにご来場ください':1A '予約関連':2B '前泊':4B '前泊の場合の来場時間は':5C '時間厳守でお願いします':6 '来場時間':3B
135,予約関連,利用目的,制限,国際線施設の利用目的での予約は可能ですか？,当駐車場は国内線ご利用のお客様専用となっております。見学・施設利用目的でもご利用いただけません。,f,✖️,国内線利用目的のみ受入可,利用目的の制限明確化,2025-03-13 11:40:16.066,2025-03-13 11:40:16.066,'予約関連':4B '利用目的':5B '制限':6B '国内線利用目的のみ受入可':8 '国際線施設の利用目的での予約は可能ですか':7C '当駐車場は国内線ご利用のお客様専用となっております':1A '施設利用目的でもご利用いただけません':3A '見学':2A
136,予約関連,キャンセル,欠航,飛行機が欠航になった場合はどうなりますか？,欠航の場合も、キャンセル料として料金の50%を申し受けます。,f,△,理由に関わらずキャンセル料金発生,欠航時の料金規定明確化,2025-03-13 11:40:16.069,2025-03-13 11:40:16.069,'を申し受けます':3A 'キャンセル':5B 'キャンセル料として料金の50':2A '予約関連':4B '欠航':6B '欠航の場合も':1A '理由に関わらずキャンセル料金発生':8 '飛行機が欠航になった場合はどうなりますか':7C
137,予約関連,日程変更,帰着日,帰着日の変更（早帰り）は可能ですか？,1.早めの連絡が必要（当日連絡は車の準備に時間が必要） 2.料金は来場時の表示金額を請求 3.延泊は1日毎の料金（ピーク該当日は加算）,f,△,車両準備の時間必要,帰着日変更の適切な対応,2025-03-13 11:40:16.075,2025-03-13 11:40:16.075,'1':1A '2':4A '3':6A 'は可能ですか':14C 'ピーク該当日は加算':8A '予約関連':9B '帰着日':11B '帰着日の変更':12C '延泊は1日毎の料金':7A '当日連絡は車の準備に時間が必要':3A '料金は来場時の表示金額を請求':5A '日程変更':10B '早めの連絡が必要':2A '早帰り':13C '車両準備の時間必要':15
216,予約関連,キャンセル,,キャンセル料の支払い方法は？,キャンセル料は銀行振込でお支払いいただきます。振込先の詳細はメールでご案内いたします。振込手数料はお客様負担となります。,f,,,,2025-03-13 15:40:28.326,2025-03-13 15:40:28.326,'キャンセル':5B 'キャンセル料の支払い方法は':6C 'キャンセル料は銀行振込でお支払いいただきます':1A '予約関連':4B '振込先の詳細はメールでご案内いたします':2A '振込手数料はお客様負担となります':3A
138,予約関連,日程変更,帰着日,帰着日の変更（早帰り・延泊）はどうすればいいですか？,1.早帰りの場合は早めのご連絡が必要（車の準備に時間がかかるため） 2.当日連絡の場合は車の準備でお待たせする可能性あり 3.延泊は1日毎の料金請求（ピーク該当日は料金加算）,f,△,早めの連絡が重要,帰着日変更の手続き明確化,2025-03-13 11:40:16.078,2025-03-13 11:40:16.078,'1':1A '2':4A '3':6A 'はどうすればいいですか':15C 'ピーク該当日は料金加算':8A '予約関連':9B '帰着日':11B '帰着日の変更':12C '延泊':14C '延泊は1日毎の料金請求':7A '当日連絡の場合は車の準備でお待たせする可能性あり':5A '日程変更':10B '早めの連絡が重要':16 '早帰り':13C '早帰りの場合は早めのご連絡が必要':2A '車の準備に時間がかかるため':3A
139,予約関連,時間変更,連絡方法,フライト時間の変更や遅延はどうすればいいですか？,フライトの変更や遅延が分かった時点でご連絡ください。24:00以降の到着は追加料金2000円で24:30までお迎え対応可能です。,f,△,早めの連絡必要,フライト変更時の対応明確化,2025-03-13 11:40:16.081,2025-03-13 11:40:16.081,'00以降の到着は追加料金2000円で24':3A '24':2A '30までお迎え対応可能です':4A 'フライトの変更や遅延が分かった時点でご連絡ください':1A 'フライト時間の変更や遅延はどうすればいいですか':8C '予約関連':5B '早めの連絡必要':9 '時間変更':6B '連絡方法':7B
140,車両関連,車両情報,車種,車種はどのように記入すればよいですか？,ブランド名と車名を記入してください。例：ホンダ Nボックス、トヨタ タンク,f,◯,スペースを入れてブランド名と車名を記入,車種情報の正確な記録,2025-03-13 11:40:16.084,2025-03-13 11:40:16.084,'nボックス':4A 'スペースを入れてブランド名と車名を記入':11 'タンク':6A 'トヨタ':5A 'ブランド名と車名を記入してください':1A 'ホンダ':3A '例':2A '車両情報':8B '車両関連':7B '車種':9B '車種はどのように記入すればよいですか':10C
141,車両関連,サイズ制限,高さ制限,ルーフキャリアを装着していますが、通常の予約でよいですか？,車両の高さがキャリアを含めて1.95m以上になる場合は、大型車プランでの予約が必要です。特に軽自動車は要注意です。,f,△,当日、高さ制限オーバーが判明した場合は大型車料金となります,サイズ超過の事前防止,2025-03-13 11:40:16.086,2025-03-13 11:40:16.086,'サイズ制限':6B 'ルーフキャリアを装着していますが':8C '以上になる場合は':2A '大型車プランでの予約が必要です':3A '当日':10 '特に軽自動車は要注意です':4A '車両の高さがキャリアを含めて1.95m':1A '車両関連':5B '通常の予約でよいですか':9C '高さ制限':7B '高さ制限オーバーが判明した場合は大型車料金となります':11
142,車両関連,車種制限,レクサス,レクサスで利用したいのですが？,レクサスは場内保険の対象外となるため、お預かりできかねます。,f,✖️,場内保険の対象外である事実を明記,レクサス利用の問い合わせ対応,2025-03-13 11:40:16.09,2025-03-13 11:40:16.09,'お預かりできかねます':2A 'レクサス':5B 'レクサスで利用したいのですが':6C 'レクサスは場内保険の対象外となるため':1A '場内保険の対象外である事実を明記':7 '車両関連':3B '車種制限':4B
143,車両関連,サイズ確認,確認手順,車両サイズの確認はどのように行いますか？,1.メーカー・車種から標準サイズ確認 2.キャリア等の装着物確認 3.改造の有無確認 4.実測値と申告値の照合,f,◯,サイズ超過の事前防止,車両制限の確実な実施,2025-03-13 11:40:16.092,2025-03-13 11:40:16.092,'1':1A '2':4A '3':6A '4':8A 'キャリア等の装着物確認':5A 'サイズ確認':11B 'サイズ超過の事前防止':14 'メーカー':2A '実測値と申告値の照合':9A '改造の有無確認':7A '確認手順':12B '車両サイズの確認はどのように行いますか':13C '車両関連':10B '車種から標準サイズ確認':3A
144,車両関連,確認手順,現場確認,来場時に申告と異なる車両での来場があった場合は？,1.受入可否の即時判断 2.車両情報の記録 3.追加料金の説明 4.受入不可の場合の代替案内,f,△,事前申告との相違確認,車両変更時の適切な対応,2025-03-13 11:40:16.094,2025-03-13 11:40:16.094,'1':1A '2':3A '3':5A '4':7A '事前申告との相違確認':13 '受入不可の場合の代替案内':8A '受入可否の即時判断':2A '来場時に申告と異なる車両での来場があった場合は':12C '現場確認':11B '確認手順':10B '車両情報の記録':4A '車両関連':9B '追加料金の説明':6A
145,車両関連,トラブル対応,車両損傷,車両損傷が発見された場合の対応手順は？,1.損傷状況の記録（写真） 2.お客様への確認 3.保険対応の説明 4.事故報告書の作成,f,△,事実確認を慎重に行う,車両損傷時の適切な対応,2025-03-13 11:40:16.096,2025-03-13 11:40:16.096,'1':1A '2':4A '3':6A '4':8A 'お客様への確認':5A 'トラブル対応':11B '事実確認を慎重に行う':14 '事故報告書の作成':9A '保険対応の説明':7A '写真':3A '損傷状況の記録':2A '車両損傷':12B '車両損傷が発見された場合の対応手順は':13C '車両関連':10B
146,車両関連,サイズ制限,高さ制限,キャリアやルーフボックスの高さ制限は？,軽自動車・普通車を問わず、キャリア・ルーフボックスを含めて高さ1.95m以上の場合は大型車料金となります。事前申告が必要です。,f,△,全車種に高さ制限適用,車両サイズの適切な把握,2025-03-13 11:40:16.099,2025-03-13 11:40:16.099,'キャリア':3A 'キャリアやルーフボックスの高さ制限は':10C 'サイズ制限':8B 'ルーフボックスを含めて高さ1.95m':4A '事前申告が必要です':6A '以上の場合は大型車料金となります':5A '全車種に高さ制限適用':11 '普通車を問わず':2A '車両関連':7B '軽自動車':1A '高さ制限':9B
147,車両関連,車種制限,指定車種,指定国産車とはどのような車種ですか？,レクサス全車種、FJクルーザー、ハイラックス、ランドクルーザー、プラド、グランドキャビン、キャラバン・ハイエース（ワイド、ハイルーフ）、パジェロ、プレジデント、グランエース等は受入不可,f,✖️,年式問わず受入不可,受入不可車両の明確化,2025-03-13 11:40:16.103,2025-03-13 11:40:16.103,'fjクルーザー':2A 'キャラバン':7A 'グランエース等は受入不可':13A 'グランドキャビン':6A 'ハイエース':8A 'ハイラックス':3A 'ハイルーフ':10A 'パジェロ':11A 'プラド':5A 'プレジデント':12A 'ランドクルーザー':4A 'レクサス全車種':1A 'ワイド':9A '年式問わず受入不可':18 '指定国産車とはどのような車種ですか':17C '指定車種':16B '車両関連':14B '車種制限':15B
148,車両関連,車種制限,受入不可,マニュアル車、土禁車、改造車は利用できますか？,申し訳ございませんが、以下の車両は受入できません：1.マニュアル車 2.土禁車 3.改造車 4.社外バンパーやヒッチメンバー装着車,f,✖️,一切の例外なく受入不可,受入不可車両の明確化,2025-03-13 11:40:16.108,2025-03-13 11:40:16.108,"'1':3A '2':5A '3':7A '4':9A 'マニュアル車':4A,14C '一切の例外なく受入不可':17 '以下の車両は受入できません':2A '受入不可':13B '土禁車':6A,15C '改造車':8A '改造車は利用できますか':16C '申し訳ございませんが':1A '社外バンパーやヒッチメンバー装着車':10A '車両関連':11B '車種制限':12B"
149,車両関連,鍵管理,預かり,車の鍵の取り扱いについて注意点は？,1.車の鍵はお預かり必須（スマートキーのメカニカルキー取り外し禁止） 2.他の鍵やキーホルダーは事前に取り外し 3.鍵の持ち去り・預け忘れは罰金5000円,f,◯,業務上必要な鍵の管理,鍵の適切な管理,2025-03-13 11:40:16.111,2025-03-13 11:40:16.111,'1':1A '2':4A '3':6A 'スマートキーのメカニカルキー取り外し禁止':3A '他の鍵やキーホルダーは事前に取り外し':5A '業務上必要な鍵の管理':13 '車の鍵の取り扱いについて注意点は':12C '車の鍵はお預かり必須':2A '車両関連':9B '鍵の持ち去り':7A '鍵管理':10B '預かり':11B '預け忘れは罰金5000円':8A
150,車両関連,サイズ制限,大型車,大型車両の料金と注意点は？,1.規定サイズ超過（高さ1.95m～・幅1.85m～・長さ5.05m～）は大型料金（+1日1000円） 2.キャリア等も高さに含む 3.大型枠には限りあり 4.サイズ超過車は当日でも大型料金,f,△,予約可能でも受入できない場合あり,大型車両の取扱明確化,2025-03-13 11:40:16.113,2025-03-13 11:40:16.113,'+1':7A '1':1A '2':9A '3':11A '4':13A 'は大型料金':6A 'キャリア等も高さに含む':10A 'サイズ制限':16B 'サイズ超過車は当日でも大型料金':14A '予約可能でも受入できない場合あり':19 '大型枠には限りあり':12A '大型車':17B '大型車両の料金と注意点は':18C '幅1.85m':4A '日1000円':8A '規定サイズ超過':2A '車両関連':15B '長さ5.05m':5A '高さ1.95m':3A
151,車両関連,駐車環境,汚れ,駐車場での車両の汚れについて,1.首都高速湾岸線下のため、雨・風・ほこり等自然発生の汚れは防げません 2.土禁車は受付不可 3.駐車場所の指定不可,f,◯,自然発生の汚れについて免責,駐車環境の説明,2025-03-13 11:40:16.115,2025-03-13 11:40:16.115,'1':1A '2':6A '3':8A 'ほこり等自然発生の汚れは防げません':5A '土禁車は受付不可':7A '汚れ':12B '自然発生の汚れについて免責':14 '車両関連':10B '雨':3A '風':4A '首都高速湾岸線下のため':2A '駐車場での車両の汚れについて':13C '駐車場所の指定不可':9A '駐車環境':11B
152,車両関連,受入基準,制限,サイズオーバーや改造車の受入は？,サイズオーバー、改造車など、お預かりできないと判断した車両はお断りさせていただきます。,f,✖️,受入可否は当社判断,受入基準の明確化,2025-03-13 11:40:16.117,2025-03-13 11:40:16.117,'お預かりできないと判断した車両はお断りさせていただきます':3A 'サイズオーバー':1A 'サイズオーバーや改造車の受入は':7C '制限':6B '受入可否は当社判断':8 '受入基準':5B '改造車など':2A '車両関連':4B
